,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2024-08-30,8742.615995343222,8138.001143726406,6273.550878354803,6614.426826747049
2024-08-31,8742.615995343222,8138.001143726406,6273.550878354803,6614.426826747049
2024-09-01,8742.615995343222,8138.001143726406,6273.550878354803,6614.426826747049
2024-09-02,8742.615995343222,8138.001143726406,6273.550878354803,6614.426826747049
2024-09-03,8579.107446407326,7983.497655713054,6176.524275362048,6500.699224178766
2024-09-04,8606.363065468791,8007.874114274765,6171.89987083334,6527.585507208304
2024-09-05,8505.76813187211,7930.245103127918,6119.350483638439,6465.091390842532
2024-09-06,8413.131996180025,7868.475650755393,6072.338570540584,6385.448155918489
2024-09-07,8413.131996180025,7868.475650755393,6072.338570540584,6385.448155918489
2024-09-08,8413.131996180025,7868.475650755393,6072.338570540584,6385.448155918489
2024-09-09,8499.19107158593,7930.725881158964,6153.402684724846,6487.510871812684
2024-09-10,8499.934076042417,7937.807495146814,6168.435050545735,6499.236145028111
2024-09-11,8503.579231877038,7963.039129676453,6164.283571984421,6510.89933711861
2024-09-12,8498.463053946887,7950.847438816624,6144.6309383770795,6522.219634060954
2024-09-13,8576.99627462143,7998.937496659229,6181.681971800248,6461.074733747973
2024-09-14,8576.99627462143,7998.937496659229,6181.681971800248,6461.074733747973
2024-09-15,8576.99627462143,7998.937496659229,6181.681971800248,6461.074733747973
2024-09-16,8560.748766343586,7952.366225338874,6185.217358765349,6445.109574566428
2024-09-17,8557.917292998038,7953.356383290547,6184.407805390049,6473.231412855982
2024-09-18,8551.77692571638,7960.491294872895,6157.117770377011,6429.633210547233
2024-09-19,8733.98501186472,8152.91787264682,6243.408882621378,6591.001886387914
2024-09-20,8675.654322088358,8071.832977155407,6219.253035007817,6588.362968211423
2024-09-21,8675.654322088358,8071.832977155407,6219.253035007817,6588.362968211423
2024-09-22,8675.654322088358,8071.832977155407,6219.253035007817,6588.362968211423
2024-09-23,8653.54787354929,8045.27754311471,6221.565202247393,6583.68391918176
2024-09-24,8657.841663861824,8053.658107329109,6222.143616026976,6601.132229770592
2024-09-25,8546.711912887042,7954.262365125288,6181.3358820884505,6555.237981271304
2024-09-26,8633.614352703971,8042.175626851922,6239.369106663913,6566.471185466364
2024-09-27,8689.830121179464,8082.538198939707,6269.018585416008,6583.826754991824
2024-09-28,8689.830121179464,8082.538198939707,6269.018585416008,6583.826754991824
2024-09-29,8689.830121179464,8082.538198939707,6269.018585416008,6583.826754991824
2024-09-30,8708.523297751348,8121.733096701653,6312.722806164619,6558.159931106445
2024-10-01,8622.956397708622,8018.266391334592,6261.744135788074,6517.738049369871
2024-10-02,8639.72319823221,8030.608002305372,6279.691039933392,6551.409188581054
2024-10-03,8587.434011398314,7994.5729748218455,6234.005293479911,6499.804760178149
2024-10-04,8651.415166315062,8025.658311819829,6265.21102165215,6576.887403905836
2024-10-05,8651.415166315062,8025.658311819829,6265.21102165215,6576.887403905836
2024-10-06,8651.415166315062,8025.658311819829,6265.21102165215,6576.887403905836
2024-10-07,8476.021438307305,7961.751794593759,6147.902345303808,6493.662318137497
2024-10-08,8519.20770742612,7970.999658673786,6214.265345360246,6568.938960424818
2024-10-09,8623.665763302051,8022.611265966305,6306.131168104629,6685.5619424754905
2024-10-10,8619.625012289827,8007.359858719258,6287.542491201423,6647.577707699006
2024-10-11,8651.161444277019,8029.626042999333,6298.262641953634,6686.43395455149
2024-10-12,8651.161444277019,8029.626042999333,6298.262641953634,6686.43395455149
2024-10-13,8651.161444277019,8029.626042999333,6298.262641953634,6686.43395455149
2024-10-14,8667.357837324093,8091.123963551408,6314.50527512959,6695.191901580711
2024-10-15,8520.999775559274,7998.633633472092,6241.899429085824,6544.118600298933
2024-10-16,8514.71868372614,8001.4719892557605,6207.128908660564,6575.234702889271
2024-10-17,8521.708198438928,7996.4255131612235,6199.037030309046,6580.108983291207
2024-10-18,8492.258225232747,7964.6541332004335,6242.623649779688,6612.172843452296
2024-10-19,8492.258225232747,7964.6541332004335,6242.623649779688,6612.172843452296
2024-10-20,8492.258225232747,7964.6541332004335,6242.623649779688,6612.172843452296
2024-10-21,8453.703678983775,7928.9352104681775,6197.809862501676,6560.744140352284
2024-10-22,8437.208154402198,7923.840694596097,6170.500110478258,6536.607361688305
2024-10-23,8409.056335635354,7909.016661622429,6137.895426736515,6508.544921804141
2024-10-24,8457.721020182413,7954.1962004857405,6133.384970958878,6540.495217626891
2024-10-25,8425.736831826756,7949.976224513771,6083.168194663024,6501.598385616179
2024-10-26,8425.736831826756,7949.976224513771,6083.168194663024,6501.598385616179
2024-10-27,8425.736831826756,7949.976224513771,6083.168194663024,6501.598385616179
2024-10-28,8482.446028771048,7998.047446204887,6116.418480065774,6528.428732760481
2024-10-29,8478.797261940472,8007.626771024622,6111.306340198405,6556.65924159918
