,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2023-12-11,7496.578881827737,7502.210549758071,5987.812549451608,6064.80764551757
2023-12-12,7537.538065996403,7530.572740750018,6023.650420118948,6049.971886254904
2023-12-13,7561.457171975653,7590.115204847826,6019.412262557476,6170.035097530484
2023-12-14,7582.152009147395,7682.741824592979,5902.252613302185,6303.113625608501
2023-12-15,7536.4923055811805,7662.198686981007,5873.529878821826,6276.66426778149
2023-12-16,7536.4923055811805,7662.198686981007,5873.529878821826,6276.66426778149
2023-12-17,7536.4923055811805,7662.198686981007,5873.529878821826,6276.66426778149
2023-12-18,7442.816945985681,7541.287997970334,5910.964104809251,6197.260148411846
2023-12-19,7498.444521585768,7594.014755781495,5929.786133066819,6254.545452418484
2023-12-20,7330.402026650945,7448.592490418704,5844.329833985589,6086.194908541873
2023-12-21,7385.311362632575,7493.256252636296,5897.810089665221,6130.963395152795
2023-12-22,7410.699180202465,7525.481814663854,5902.389677863796,6132.873649083167
2023-12-23,7410.699180202465,7525.481814663854,5902.389677863796,6132.873649083167
2023-12-24,7410.699180202465,7525.481814663854,5902.389677863796,6132.873649083167
2023-12-25,7410.699180202465,7525.481814663854,5902.389677863796,6132.873649083167
2023-12-26,7429.402509826973,7551.201295818092,5881.94074457467,6140.356267260561
2023-12-27,7432.347812284009,7553.578543284277,5874.229713729619,6121.101396407556
2023-12-28,7453.616216186229,7564.511617755367,5881.890878886688,6134.585288492688
2023-12-29,7438.338226604573,7544.71642805389,5873.356840975344,6085.550706061621
2023-12-30,7438.338226604573,7544.71642805389,5873.356840975344,6085.550706061621
2023-12-31,7438.338226604573,7544.71642805389,5873.356840975344,6085.550706061621
2024-01-01,7438.338226604573,7544.71642805389,5873.356840975344,6085.550706061621
2024-01-02,7431.109258598315,7511.3783213667875,5802.933368377452,6071.912797005878
2024-01-03,7425.36414329495,7477.931662623687,5762.8202875707175,6060.638222598874
2024-01-04,7375.251377761375,7417.1618027824925,5747.361369521937,6048.808922747964
2024-01-05,7347.458182694505,7401.848664297495,5742.580177025322,6051.68407159505
2024-01-06,7347.458182694505,7401.848664297495,5742.580177025322,6051.68407159505
2024-01-07,7347.458182694505,7401.848664297495,5742.580177025322,6051.68407159505
2024-01-08,7406.808639765208,7455.663797785136,5845.793078619339,6133.888239088168
2024-01-09,7390.88275785818,7458.388039947987,5846.032155294593,6129.85110506699
2024-01-10,7399.629692232227,7451.348038399942,5889.245983705967,6153.227992793467
2024-01-11,7405.213556084773,7444.190550986268,5913.545596864299,6131.05155190464
2024-01-12,7393.919499508775,7431.494370654736,5925.786284992935,6108.713755317996
2024-01-13,7393.919499508775,7431.494370654736,5925.786284992935,6108.713755317996
2024-01-14,7393.919499508775,7431.494370654736,5925.786284992935,6108.713755317996
2024-01-15,7393.919499508775,7431.494370654736,5925.786284992935,6108.713755317996
2024-01-16,7362.210135820193,7390.440913433901,5899.13147795274,6058.062382682456
2024-01-17,7346.776942451171,7365.494222000717,5895.066237406153,6054.291452611799
2024-01-18,7443.614319264185,7457.148048620101,5968.757223134686,6119.4189531018255
2024-01-19,7542.044185477501,7519.491111121687,6088.506106493835,6172.656212368658
2024-01-20,7542.044185477501,7519.491111121687,6088.506106493835,6172.656212368658
2024-01-21,7542.044185477501,7519.491111121687,6088.506106493835,6172.656212368658
2024-01-22,7213.10084356832,7199.155031417523,6107.463337613605,5906.565527921362
2024-01-23,7285.761023491991,7274.000789903293,6114.978412453044,5944.112124323524
2024-01-24,7235.040273240219,7227.16459899705,6110.517747083923,5881.006540131446
2024-01-25,7189.368155671599,7191.10265498039,6150.628343924977,5883.096155745937
2024-01-26,7169.661909903144,7165.971225767135,6173.2776860052245,5940.20942931231
2024-01-27,7169.661909903144,7165.971225767135,6173.2776860052245,5940.20942931231
2024-01-28,7169.661909903144,7165.971225767135,6173.2776860052245,5940.20942931231
2024-01-29,7260.990767709893,7260.302420219771,6225.435087255523,6038.1023843929615
2024-01-30,7267.374942298625,7251.205600628165,6184.552052448713,6020.139346162284
2024-01-31,7239.36139164269,7189.958943928245,6136.801032380877,5836.313493221606
2024-02-01,7308.903998046783,7264.958283352093,6216.739803875109,5940.898205902799
2024-02-02,7305.098286684329,7239.758474113712,6256.087041339579,5926.755837735655
2024-02-03,7305.098286684329,7239.758474113712,6256.087041339579,5926.755837735655
2024-02-04,7305.098286684329,7239.758474113712,6256.087041339579,5926.755837735655
2024-02-05,7280.110503774786,7208.736537859069,6274.446105002095,5875.909800775734
2024-02-06,7293.393814470183,7228.093647986375,6229.342828928249,5889.154949000546
2024-02-07,7332.316843347135,7247.231295633365,6284.91009340795,5921.624963682098
2024-02-08,7304.172206334838,7247.914566512743,6260.59070069156,5939.200034720474
2024-02-09,7331.634175129745,7262.904168692067,6300.992096703091,5932.613192397974
2024-02-10,7331.634175129745,7262.904168692067,6300.992096703091,5932.613192397974
2024-02-11,7331.634175129745,7262.904168692067,6300.992096703091,5932.613192397974
2024-02-12,7315.380707113763,7253.068693380436,6236.362301033016,5966.869128564854
2024-02-13,7212.499877624903,7134.306204534981,6200.482809845734,5888.601518969188
2024-02-14,7263.592464802539,7171.09567774027,6245.681271620047,5914.634873350321
2024-02-15,7360.558209576794,7224.072131367639,6273.537529622019,6028.022387385859
2024-02-16,7321.527491585719,7207.090220175512,6148.856244628135,5963.161249751391
2024-02-17,7321.527491585719,7207.090220175512,6148.856244628135,5963.161249751391
2024-02-18,7321.527491585719,7207.090220175512,6148.856244628135,5963.161249751391
2024-02-19,7321.527491585719,7207.090220175512,6148.856244628135,5963.161249751391
2024-02-20,7290.764795345332,7189.195407967011,6086.986501439942,5885.832346452117
2024-02-21,7327.446408643103,7236.482011176451,6065.064748804041,5899.740803476965
